Last Name/Surname,Total,Two or More Races,Percentage,Rank,U.S. Rank
SMITH,"2,442,977","53,501",2.19%,1,1
JOHNSON,"1,932,812","49,480",2.56%,2,2
WILLIAMS,"1,625,252","45,670",2.81%,3,3
JONES,"1,425,470","37,205",2.61%,4,5
BROWN,"1,437,026","36,644",2.55%,5,4
DAVIS,"1,116,357","27,351",2.45%,6,8
JACKSON,"708,099","22,093",3.12%,7,19
MILLER,"1,161,437","20,557",1.77%,8,7
THOMAS,"756,142","19,508",2.58%,9,16
WILSON,"801,882","19,085",2.38%,10,14
LEE,"693,023","18,296",2.64%,11,21
TAYLOR,"751,209","18,104",2.41%,12,17
HARRIS,"624,252","17,479",2.80%,13,25
MOORE,"724,374","16,950",2.34%,14,18
ANDERSON,"784,404","16,551",2.11%,15,15
THOMPSON,"664,644","15,752",2.37%,16,23
WHITE,"660,491","15,720",2.38%,17,24
ROBINSON,"529,821","14,676",2.77%,18,30
MARTIN,"702,625","14,193",2.02%,19,20
LEWIS,"531,781","13,720",2.58%,20,29
WALKER,"523,129","13,340",2.55%,21,31
YOUNG,"484,447","12,886",2.66%,22,32
CLARK,"562,679","12,323",2.19%,23,27
ALLEN,"482,607","11,486",2.38%,24,33
SCOTT,"439,530","11,384",2.59%,25,36
WRIGHT,"458,980","11,061",2.41%,26,35
HILL,"434,827","10,914",2.51%,27,39
KING,"465,422","10,751",2.31%,28,34
GREEN,"430,182","10,625",2.47%,29,41
CARTER,"376,966","9,990",2.65%,30,49
MITCHELL,"384,486","9,612",2.50%,31,48
ADAMS,"427,865","9,242",2.16%,32,42
HALL,"407,076","9,037",2.22%,33,45
NELSON,"424,958","8,499",2.00%,34,43
BAKER,"419,586","8,476",2.02%,35,44
TURNER,"348,627","8,297",2.38%,36,54
CAMPBELL,"386,157","8,225",2.13%,37,47
EDWARDS,"332,423","8,211",2.47%,38,58
EVANS,"355,593","8,179",2.30%,39,53
ROBERTS,"376,774","8,101",2.15%,40,50
NGUYEN,"437,645","8,009",1.83%,41,38
PARKER,"336,221","7,901",2.35%,42,56
PHILLIPS,"360,802","7,829",2.17%,43,52
COLLINS,"329,770","7,354",2.23%,44,59
STEWART,"324,957","7,279",2.24%,45,61
MORRIS,"318,884","7,143",2.24%,46,62
WASHINGTON,"177,386","6,705",3.78%,47,145
